Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Einwohnerdichte;Ausländeranteil;Frauenanteil;Schutzsuchende an ausländischer Bevölkerung;Schutzsuchende an Bevölkerung;Einwohner unter 6 Jahre;Einwohner von 6 bis unter 18 Jahren;Einwohner 65 Jahre und älter
"09673";"Rhön-Grabfeld";"Kreise";"79.430,00";"77,74";"7,21";"50,16";"32,20";"2,32";"5,54";"11,36";"24,06"
"09674";"Haßberge";"Kreise";"83.673,00";"87,51";"6,28";"49,81";"25,41";"1,60";"5,71";"11,15";"23,04"
"09675";"Kitzingen";"Kreise";"91.197,00";"133,30";"11,23";"49,91";"19,67";"2,21";"6,00";"11,24";"21,83"
"09676";"Miltenberg";"Kreise";"127.204,00";"177,76";"12,37";"50,35";"17,99";"2,22";"5,60";"11,30";"22,78"
"09677";"Main-Spessart";"Kreise";"125.814,00";"95,23";"8,89";"50,14";"19,13";"1,70";"5,37";"10,61";"24,65"
"09678";"Schweinfurt";"Kreise";"114.404,00";"135,97";"7,62";"49,83";"106,32";"8,10";"5,85";"11,20";"23,50"
"09679";"Würzburg";"Kreise";"160.879,00";"166,14";"8,19";"50,55";"24,07";"1,97";"5,98";"11,38";"23,24"
"093";"Oberpfalz";"Regierungsbezirke";"1.116.135,00";"115,20";"11,11";"50,11";"25,95";"2,88";"5,62";"10,83";"21,57"
"094";"Oberfranken";"Regierungsbezirke";"1.055.751,00";"145,96";"9,82";"50,63";"34,57";"3,39";"5,27";"10,53";"23,61"
"095";"Mittelfranken";"Regierungsbezirke";"1.791.147,00";"247,27";"16,50";"50,62";"19,56";"3,23";"5,72";"11,12";"21,36"
"096";"Unterfranken";"Regierungsbezirke";"1.315.155,00";"154,18";"10,84";"50,53";"28,80";"3,12";"5,59";"10,78";"23,20"
